I, [2018-09-21T00:50:39.836288 #5584]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T08:31:04.743719 #1704]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:10:10.043471 #6604]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:10:28.441966 #12148]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:10:40.118286 #12944]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:13:17.139595 #13164]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:13:43.083088 #14452]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:14:20.346762 #9328]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:14:39.768277 #14876]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:14:50.941884 #12528]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:15:05.207728 #12804]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:16:49.405190 #232]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:17:50.810645 #9032]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:19:03.108357 #14624]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:19:19.554964 #4836]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
I, [2018-09-21T09:19:38.104357 #9760]  INFO -- : Starting in Client Mode [host:127.0.0.1, port:52000, batch_size:100]
